timestamp;sensor;context_sensor;date (America/Argentina/Buenos_Aires)
1684163900007;0.0;{};2023-05-15 12:18:20.007000-03:00
1684163899698;0.0;{};2023-05-15 12:18:19.698000-03:00
1684163897432;0.0;{};2023-05-15 12:18:17.432000-03:00
1684163895717;0.0;{};2023-05-15 12:18:15.717000-03:00
1684163893017;0.0;{};2023-05-15 12:18:13.017000-03:00
1684163892777;0.0;{};2023-05-15 12:18:12.777000-03:00
1684163881671;0.0;{};2023-05-15 12:18:01.671000-03:00
1684163876495;0.0;{};2023-05-15 12:17:56.495000-03:00
1684163875621;0.0;{};2023-05-15 12:17:55.621000-03:00
1684163869457;0.0;{};2023-05-15 12:17:49.457000-03:00
1684163868683;0.0;{};2023-05-15 12:17:48.683000-03:00
1684163866024;0.0;{};2023-05-15 12:17:46.024000-03:00
1684163865695;0.0;{};2023-05-15 12:17:45.695000-03:00
1684163854453;0.0;{};2023-05-15 12:17:34.453000-03:00
1684163853212;0.0;{};2023-05-15 12:17:33.212000-03:00
1684163851441;0.0;{};2023-05-15 12:17:31.441000-03:00
1684163850450;0.0;{};2023-05-15 12:17:30.450000-03:00
1684163849621;0.0;{};2023-05-15 12:17:29.621000-03:00
1684163847452;0.0;{};2023-05-15 12:17:27.452000-03:00
1684163846470;0.0;{};2023-05-15 12:17:26.470000-03:00
1684163845447;0.0;{};2023-05-15 12:17:25.447000-03:00
1684163844453;0.0;{};2023-05-15 12:17:24.453000-03:00
1684163843164;0.0;{};2023-05-15 12:17:23.164000-03:00
1684163838424;0.0;{};2023-05-15 12:17:18.424000-03:00
1684163837640;0.0;{};2023-05-15 12:17:17.640000-03:00
1684163835437;0.0;{};2023-05-15 12:17:15.437000-03:00
1684163834676;0.0;{};2023-05-15 12:17:14.676000-03:00
1684163832457;0.0;{};2023-05-15 12:17:12.457000-03:00
1684163831182;0.0;{};2023-05-15 12:17:11.182000-03:00
1684163829686;0.0;{};2023-05-15 12:17:09.686000-03:00
1684163827405;0.0;{};2023-05-15 12:17:07.405000-03:00
1684163826676;0.0;{};2023-05-15 12:17:06.676000-03:00
1684163820656;0.0;{};2023-05-15 12:17:00.656000-03:00
1684163818468;0.0;{};2023-05-15 12:16:58.468000-03:00
1684163817743;0.0;{};2023-05-15 12:16:57.743000-03:00
1684163815389;0.0;{};2023-05-15 12:16:55.389000-03:00
1684163814417;0.0;{};2023-05-15 12:16:54.417000-03:00
1684163813674;0.0;{};2023-05-15 12:16:53.674000-03:00
1684163807135;558.0;{};2023-05-15 12:16:47.135000-03:00
1684163793415;0.0;{};2023-05-15 12:16:33.415000-03:00
1684163792386;4095.0;{};2023-05-15 12:16:32.386000-03:00
1684163791145;4095.0;{};2023-05-15 12:16:31.145000-03:00
1684163789611;4095.0;{};2023-05-15 12:16:29.611000-03:00
1684163787365;4095.0;{};2023-05-15 12:16:27.365000-03:00
1684163786153;4095.0;{};2023-05-15 12:16:26.153000-03:00
1684163772385;4095.0;{};2023-05-15 12:16:12.385000-03:00
1684163771189;4095.0;{};2023-05-15 12:16:11.189000-03:00
1684163769362;3757.0;{};2023-05-15 12:16:09.362000-03:00
1684163768384;2911.0;{};2023-05-15 12:16:08.384000-03:00
1684163767374;4095.0;{};2023-05-15 12:16:07.374000-03:00
1684163766399;4095.0;{};2023-05-15 12:16:06.399000-03:00
1684163765403;4095.0;{};2023-05-15 12:16:05.403000-03:00
1684163764631;4095.0;{};2023-05-15 12:16:04.631000-03:00
1684163763368;4095.0;{};2023-05-15 12:16:03.368000-03:00
1684163762373;4095.0;{};2023-05-15 12:16:02.373000-03:00
1684163761349;1910.0;{};2023-05-15 12:16:01.349000-03:00
1684163760342;4095.0;{};2023-05-15 12:16:00.342000-03:00
1684163759360;4095.0;{};2023-05-15 12:15:59.360000-03:00
1684163758348;4095.0;{};2023-05-15 12:15:58.348000-03:00
1684163757329;3490.0;{};2023-05-15 12:15:57.329000-03:00
1684163756335;4095.0;{};2023-05-15 12:15:56.335000-03:00
1684163755331;4095.0;{};2023-05-15 12:15:55.331000-03:00
1684163754313;4095.0;{};2023-05-15 12:15:54.313000-03:00
1684163753327;3937.0;{};2023-05-15 12:15:53.327000-03:00
1684163752331;4095.0;{};2023-05-15 12:15:52.331000-03:00
1684163751320;4095.0;{};2023-05-15 12:15:51.320000-03:00
1684163750317;3026.0;{};2023-05-15 12:15:50.317000-03:00
1684163749317;4095.0;{};2023-05-15 12:15:49.317000-03:00
1684163748287;4095.0;{};2023-05-15 12:15:48.287000-03:00
1684163747299;3665.0;{};2023-05-15 12:15:47.299000-03:00
1684163746347;3618.0;{};2023-05-15 12:15:46.347000-03:00
1684163745297;4095.0;{};2023-05-15 12:15:45.297000-03:00
1684163744289;4095.0;{};2023-05-15 12:15:44.289000-03:00
1684163743287;3423.0;{};2023-05-15 12:15:43.287000-03:00
1684163742282;3657.0;{};2023-05-15 12:15:42.282000-03:00
1684163741277;4095.0;{};2023-05-15 12:15:41.277000-03:00
1684163740158;1331.0;{};2023-05-15 12:15:40.158000-03:00
1684163738258;1728.0;{};2023-05-15 12:15:38.258000-03:00
1684163737256;1439.0;{};2023-05-15 12:15:37.256000-03:00
1684163736284;0.0;{};2023-05-15 12:15:36.284000-03:00
1684163735266;3834.0;{};2023-05-15 12:15:35.266000-03:00
1684163734258;4095.0;{};2023-05-15 12:15:34.258000-03:00
1684163733247;4095.0;{};2023-05-15 12:15:33.247000-03:00
1684163732247;4095.0;{};2023-05-15 12:15:32.247000-03:00
1684163731285;4095.0;{};2023-05-15 12:15:31.285000-03:00
1684163729256;4095.0;{};2023-05-15 12:15:29.256000-03:00
1684163728243;4095.0;{};2023-05-15 12:15:28.243000-03:00
1684163727260;4095.0;{};2023-05-15 12:15:27.260000-03:00
1684163726232;4095.0;{};2023-05-15 12:15:26.232000-03:00
1684163725233;4095.0;{};2023-05-15 12:15:25.233000-03:00
1684163724232;4095.0;{};2023-05-15 12:15:24.232000-03:00
1684163723227;4095.0;{};2023-05-15 12:15:23.227000-03:00
1684163722228;4095.0;{};2023-05-15 12:15:22.228000-03:00
1684163721245;4095.0;{};2023-05-15 12:15:21.245000-03:00
1684163720218;4095.0;{};2023-05-15 12:15:20.218000-03:00
1684163719234;4095.0;{};2023-05-15 12:15:19.234000-03:00
1684163718205;4095.0;{};2023-05-15 12:15:18.205000-03:00
1684163717198;4095.0;{};2023-05-15 12:15:17.198000-03:00
1684163716187;4095.0;{};2023-05-15 12:15:16.187000-03:00
1684163715187;4095.0;{};2023-05-15 12:15:15.187000-03:00
1684163714191;4095.0;{};2023-05-15 12:15:14.191000-03:00
1684163713193;4095.0;{};2023-05-15 12:15:13.193000-03:00
1684163712179;4095.0;{};2023-05-15 12:15:12.179000-03:00
1684163711175;4095.0;{};2023-05-15 12:15:11.175000-03:00
1684163710180;4095.0;{};2023-05-15 12:15:10.180000-03:00
1684163709166;4095.0;{};2023-05-15 12:15:09.166000-03:00
1684163708161;4095.0;{};2023-05-15 12:15:08.161000-03:00
1684163707179;4095.0;{};2023-05-15 12:15:07.179000-03:00
1684163706156;4095.0;{};2023-05-15 12:15:06.156000-03:00
1684163705178;4095.0;{};2023-05-15 12:15:05.178000-03:00
1684163704170;4095.0;{};2023-05-15 12:15:04.170000-03:00
1684163703149;4095.0;{};2023-05-15 12:15:03.149000-03:00
1684163702155;4095.0;{};2023-05-15 12:15:02.155000-03:00
1684163701130;4095.0;{};2023-05-15 12:15:01.130000-03:00
1684163700144;4095.0;{};2023-05-15 12:15:00.144000-03:00
1684163699135;4095.0;{};2023-05-15 12:14:59.135000-03:00
1684163698139;4095.0;{};2023-05-15 12:14:58.139000-03:00
1684163697150;4095.0;{};2023-05-15 12:14:57.150000-03:00
1684163696135;4095.0;{};2023-05-15 12:14:56.135000-03:00
1684163695133;4095.0;{};2023-05-15 12:14:55.133000-03:00
1684163694122;4095.0;{};2023-05-15 12:14:54.122000-03:00
1684163693115;4095.0;{};2023-05-15 12:14:53.115000-03:00
1684163692129;4095.0;{};2023-05-15 12:14:52.129000-03:00
1684163691105;4095.0;{};2023-05-15 12:14:51.105000-03:00
1684163690095;4095.0;{};2023-05-15 12:14:50.095000-03:00
1684163689091;4095.0;{};2023-05-15 12:14:49.091000-03:00
1684163688093;4095.0;{};2023-05-15 12:14:48.093000-03:00
1684163687095;4095.0;{};2023-05-15 12:14:47.095000-03:00
1684163686074;4095.0;{};2023-05-15 12:14:46.074000-03:00
1684163685076;4095.0;{};2023-05-15 12:14:45.076000-03:00
1684163684081;4095.0;{};2023-05-15 12:14:44.081000-03:00
1684163683079;4095.0;{};2023-05-15 12:14:43.079000-03:00
1684163682067;4095.0;{};2023-05-15 12:14:42.067000-03:00
1684163681079;4095.0;{};2023-05-15 12:14:41.079000-03:00
1684163680057;4095.0;{};2023-05-15 12:14:40.057000-03:00
1684163679049;4095.0;{};2023-05-15 12:14:39.049000-03:00
1684163678051;4095.0;{};2023-05-15 12:14:38.051000-03:00
1684163677166;4095.0;{};2023-05-15 12:14:37.166000-03:00
1684163675042;4095.0;{};2023-05-15 12:14:35.042000-03:00
1684163674038;4095.0;{};2023-05-15 12:14:34.038000-03:00
1684163673059;4095.0;{};2023-05-15 12:14:33.059000-03:00
1684163672054;4095.0;{};2023-05-15 12:14:32.054000-03:00
1684163671050;4095.0;{};2023-05-15 12:14:31.050000-03:00
1684163670030;4095.0;{};2023-05-15 12:14:30.030000-03:00
1684163669043;4095.0;{};2023-05-15 12:14:29.043000-03:00
1684163668035;4095.0;{};2023-05-15 12:14:28.035000-03:00
1684163667025;4095.0;{};2023-05-15 12:14:27.025000-03:00
1684163666031;4095.0;{};2023-05-15 12:14:26.031000-03:00
1684163665033;4095.0;{};2023-05-15 12:14:25.033000-03:00
1684163664042;4095.0;{};2023-05-15 12:14:24.042000-03:00
1684163663018;4095.0;{};2023-05-15 12:14:23.018000-03:00
1684163662044;4095.0;{};2023-05-15 12:14:22.044000-03:00
1684163661039;4095.0;{};2023-05-15 12:14:21.039000-03:00
1684163660178;4095.0;{};2023-05-15 12:14:20.178000-03:00
1684163658143;4095.0;{};2023-05-15 12:14:18.143000-03:00
1684163657485;4095.0;{};2023-05-15 12:14:17.485000-03:00
1684163656512;4095.0;{};2023-05-15 12:14:16.512000-03:00
1684163655485;4095.0;{};2023-05-15 12:14:15.485000-03:00
1684163654012;4095.0;{};2023-05-15 12:14:14.012000-03:00
1684163653499;4095.0;{};2023-05-15 12:14:13.499000-03:00
1684163652482;4095.0;{};2023-05-15 12:14:12.482000-03:00
1684163651518;4095.0;{};2023-05-15 12:14:11.518000-03:00
1684163650464;4095.0;{};2023-05-15 12:14:10.464000-03:00
1684163649458;4095.0;{};2023-05-15 12:14:09.458000-03:00
1684163648456;4095.0;{};2023-05-15 12:14:08.456000-03:00
1684163647464;4095.0;{};2023-05-15 12:14:07.464000-03:00
1684163646456;4095.0;{};2023-05-15 12:14:06.456000-03:00
1684163645474;4095.0;{};2023-05-15 12:14:05.474000-03:00
1684163644489;4095.0;{};2023-05-15 12:14:04.489000-03:00
1684163643450;4095.0;{};2023-05-15 12:14:03.450000-03:00
1684163642454;4095.0;{};2023-05-15 12:14:02.454000-03:00
1684163641439;4095.0;{};2023-05-15 12:14:01.439000-03:00
1684163640445;4095.0;{};2023-05-15 12:14:00.445000-03:00
1684163639447;4095.0;{};2023-05-15 12:13:59.447000-03:00
1684163638434;4095.0;{};2023-05-15 12:13:58.434000-03:00
1684163637462;4095.0;{};2023-05-15 12:13:57.462000-03:00
1684163636449;4095.0;{};2023-05-15 12:13:56.449000-03:00
